analysis_id,pa7w15m48ly12ny
parameter_id,UCDLA_EYE_017_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Arnt
pvalue,0.6493206
parameter_name,Lens Opacity
gene_accession_id,MGI:88071
