parameter_id,IMPC_CBC_009_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,1txc89t5syrk240
pvalue,0.7210122
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
parameter_name,Calcium
