gene_symbol,Ntmt2
gene_accession_id,MGI:2685053
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Tremor
parameter_id,IMPC_CSD_030_001
pvalue,1.033209
analysis_id,4d259p2kr3hw600
