gene_symbol,Wars2
pvalue,0.1166879
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
parameter_id,JAXLA_CSD_041_002
mouse_strain,C57BL
analysis_id,93co8ay5x5s34mm
parameter_name,Hindpaw - size
