parameter_name,Snout size
gene_accession_id,MGI:1920638
mouse_strain,129SV
pvalue,0.5067426
mouse_life_stage,Early adult
analysis_id,yujt322e56u3787
gene_symbol,Bpifa3
parameter_id,IMPC_CSD_028_001
