parameter_id,MGP_IMM_033_001
parameter_name,Total NK cells - % of CD45+
pvalue,0.09261818
gene_symbol,Abo
mouse_life_stage,Early adult
analysis_id,780dqql3d4gdouq
mouse_strain,C57BL
gene_accession_id,MGI:2135738
