gene_symbol,Lpgat1
pvalue,0.4597991
parameter_id,IMPC_EYE_004_001
mouse_strain,C57BL
parameter_name,Eyelid morphology
mouse_life_stage,Early adult
analysis_id,81n6680o7wk861w
gene_accession_id,MGI:2446186
