analysis_id,e40873pf1yvf7yz
pvalue,0.5059083
gene_symbol,Tiprl
parameter_name,Tibia length
mouse_life_stage,Early adult
parameter_id,TCPLA_XRY_033_001
mouse_strain,C57BL
gene_accession_id,MGI:1915087
