parameter_name,PQ
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Bcs1l
parameter_id,IMPC_ECG_005_001
gene_accession_id,MGI:1914071
analysis_id,815s7qc3kbb79i4
pvalue,0.5539108
