mouse_strain,129SV
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
pvalue,0.1061692
analysis_id,um5c0m95l534095
parameter_id,UCD_OWT_003_001
parameter_name,Spleen weight
