parameter_name,Phosphorus
mouse_strain,C57BL
analysis_id,a8v01vt39zls10a
gene_accession_id,MGI:97838
pvalue,0.7215919
parameter_id,HMGULA_CBC_010_001
mouse_life_stage,E9.5
gene_symbol,Eprs1
