gene_symbol,Bach2
mouse_life_stage,Early adult
pvalue,0.09710593
parameter_id,M-G-P_007_001_011
mouse_strain,C57BL
gene_accession_id,MGI:894679
analysis_id,j255nb3dhac1m3j
parameter_name,center - resting time
