parameter_name,Clavicle
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_007_001
gene_accession_id,MGI:1924315
pvalue,0.08352131
mouse_strain,C57BL
gene_symbol,Ints7
analysis_id,1a24ud0gkz518lv
