parameter_id,HRWLLA_DXA_007_001
parameter_name,BMC/Body weight
analysis_id,39f45u177l0rbjc
gene_accession_id,MGI:1917810
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Wars2
pvalue,0.8829045
