gene_symbol,Nr0b2
mouse_strain,B6J
analysis_id,72700u83u908nnb
parameter_id,IMPC_ECH_008_001
parameter_name,LVIDd
pvalue,0.1731731
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
