analysis_id,3c5ha7856y7qcy2
parameter_id,MGP_PBI_015_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1919107
pvalue,0.5101593
gene_symbol,Slc17a9
parameter_name,IgD+ mature B cell percentage
