gene_symbol,Dmap1
parameter_name,Limb coat/hair presence
gene_accession_id,MGI:1913483
mouse_strain,C57BL
parameter_id,MGP_CSD_030_001
analysis_id,i5h32dvi7x787h6
mouse_life_stage,Early adult
pvalue,0.2155128
