analysis_id,4rd6z1an46qo100
gene_accession_id,MGI:2446274
parameter_id,ESLIM_011_001_702
pvalue,0.08213766
parameter_name,Prepulse inhibition - PP2
gene_symbol,Frmpd1
mouse_life_stage,Early adult
mouse_strain,C57BL
