gene_symbol,Mgst2
pvalue,0.601142
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2448481
parameter_id,MGP_PBI_010_001
analysis_id,ra4533q876z3768
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
