parameter_name,Eyelid morphology
analysis_id,41sz9yeh645yh12
mouse_strain,C57BL
gene_symbol,Tatdn3
parameter_id,IMPC_EYE_004_001
gene_accession_id,MGI:1916222
mouse_life_stage,Early adult
pvalue,0.5531564
