parameter_id,UCD_OWT_008_001
gene_accession_id,MGI:1925049
pvalue,0.2549941
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Liver weight
gene_symbol,Sla2
analysis_id,1c5odk07n14659v
