gene_symbol,Eprs1
gene_accession_id,MGI:97838
pvalue,0.2359407
parameter_id,IMPC_OFD_017_001
analysis_id,32n85kgc6495865
parameter_name,Center average speed
mouse_life_stage,E9.5
mouse_strain,C57BL
