gene_symbol,Exd1
gene_accession_id,MGI:3045306
mouse_strain,C57BL
parameter_name,Center permanence time
pvalue,0.9654879
analysis_id,f96mv3yt1qwgtv6
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_016_001
