parameter_name,Response amplitude - S
parameter_id,IMPC_ACS_006_001
analysis_id,021l676k3h8fc97
mouse_life_stage,Late adult
pvalue,0.8522286
gene_symbol,Secisbp2l
mouse_strain,C57BL
gene_accession_id,MGI:1917604
