pvalue,0.7886226
mouse_strain,C57BL
gene_symbol,Etfdh
gene_accession_id,MGI:106100
mouse_life_stage,Early adult
analysis_id,d28knt62l5x2p5v
parameter_id,IMPC_IMM_067_001
parameter_name,Follicular B Cells (CD21/35+)
