analysis_id,2327nyn96y6acjq
parameter_id,IMPC_ABR_002_001
pvalue,0.1550827
gene_symbol,Zcchc2
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Click-evoked ABR threshold
