analysis_id,a0og5l6ha278d2k
pvalue,0.07660911
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
parameter_name,% Pre-pulse inhibition - PPI4
mouse_strain,C57BL
parameter_id,IMPC_ACS_036_001
mouse_life_stage,Late adult
