analysis_id,jy785133940299l
parameter_id,TCPLA_GRS_011_001
mouse_life_stage,Early adult
gene_accession_id,MGI:97054
pvalue,0.7128441
gene_symbol,Mov10
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
