gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
analysis_id,55683h59792nm82
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.9413574
parameter_id,MGP_MLN_066_001
mouse_life_stage,Late adult
