parameter_id,IMPC_GRS_008_001
mouse_life_stage,E9.5
parameter_name,Forelimb grip strength measurement mean
analysis_id,kp57yi388092379
mouse_strain,C57BL
gene_symbol,Wars2
gene_accession_id,MGI:1917810
pvalue,0.6900618
