gene_symbol,Sdcbp2
parameter_name,Fat/Body weight
mouse_life_stage,Early adult
analysis_id,9c4fkz760cheo2n
parameter_id,JAXLA_DXA_009_001
gene_accession_id,MGI:2385156
mouse_strain,C57BL
pvalue,0.7086822
