gene_symbol,Sema6c
pvalue,0.764599
mouse_strain,C53BL
analysis_id,ra98p25r3v96j8b
gene_accession_id,MGI:1338032
parameter_name,CD11b-high cDC - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_129_001
