gene_symbol,Tubb4b
parameter_id,ESLIM_007_001_003
gene_accession_id,MGI:1915472
analysis_id,xzc0m05n2frvero
pvalue,0.6936113
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Whole arena resting time
