analysis_id,15z6g9z65hn61wc
parameter_id,IMPC_GEO_011_001
mouse_strain,C57BL
pvalue,0.7243747
parameter_name,Blood Vessel Morphology
mouse_life_stage,Early adult
gene_symbol,Cd52
gene_accession_id,MGI:1346088
