parameter_name,End-Diastolic Diameter
gene_accession_id,MGI:1924360
analysis_id,amy61v0m7039nmw
pvalue,0.3965582
parameter_id,IMPC_ECH_002_001
mouse_strain,C57BL
gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
