gene_symbol,Ints7
mouse_life_stage,Early adult
analysis_id,uk79pgt86nbzen5
gene_accession_id,MGI:1924315
pvalue,0.3254531
parameter_id,JAX_OFD_013_001
mouse_strain,C57BL
parameter_name,Periphery average speed
