analysis_id,03039h04n9itfg9
parameter_id,IMPC_IMM_069_001
gene_symbol,Cds2
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.4760687
gene_accession_id,MGI:1332236
parameter_name,Transitional B Cells (CD21/35 low)
