parameter_id,IMPC_ECH_001_001
analysis_id,5s860pz3jx3bz47
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
parameter_name,End-Systolic Diameter
gene_symbol,Atg4c
mouse_strain,C57BL
pvalue,0.6371834
