gene_symbol,Galk2
parameter_id,MGP_MLN_006_001
analysis_id,6yhz7us0af63rqh
pvalue,0.9780652
gene_accession_id,MGI:1917226
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
mouse_life_stage,Early adult
