gene_symbol,Bach2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Startle response
gene_accession_id,MGI:894679
pvalue,0.8847739
analysis_id,2o6cc9gm64g4d5c
parameter_id,IMPC_CSD_036_001
