analysis_id,wirt5gh35rqpb66
mouse_strain,C57BL
gene_symbol,Dnajc5b
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_028_001
pvalue,0.9598416
parameter_name,Forebrain
gene_accession_id,MGI:1913576
