parameter_name,Hematocrit
mouse_strain,C57BL
pvalue,0.4232333
parameter_id,IMPC_HEM_004_001
mouse_life_stage,Early adult
analysis_id,8fb5i8k9p186q37
gene_accession_id,MGI:95576
gene_symbol,Fpgs
