analysis_id,ze6cc41l3ym7482
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
gene_symbol,Trim46
mouse_strain,C57BL
pvalue,0.3216803
gene_accession_id,MGI:2673000
mouse_life_stage,Early adult
parameter_id,MGP_MLN_005_001
