parameter_name,Snout size
mouse_life_stage,Early adult
mouse_strain,C3H
analysis_id,4470821ddwj8g2v
gene_symbol,Mecom
pvalue,0.7011073
gene_accession_id,MGI:95457
parameter_id,MGP_CSD_067_001
