parameter_name,Bone Area
mouse_life_stage,Early adult
analysis_id,1ji0m174gdv7vxu
parameter_id,IMPC_DXA_010_001
pvalue,0.7247822
mouse_strain,C57BL
gene_accession_id,MGI:1924360
gene_symbol,Gpbp1l1
