analysis_id,i18eojfat09dx72
pvalue,0.6019342
mouse_life_stage,Early adult
gene_symbol,Maco1
gene_accession_id,MGI:1913396
mouse_strain,C57BL
parameter_id,MGP_MLN_005_001
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
