parameter_name,Neutrophil percentage
gene_accession_id,MGI:1345282
mouse_strain,C57BL
pvalue,0.1232559
parameter_id,MGP_PBI_019_001
mouse_life_stage,Early adult
gene_symbol,Slc30a4
analysis_id,no34743752j0sz7
