analysis_id,a69oi8ah44co713
parameter_name,Resting Treg cells - % of CD45+
mouse_life_stage,E15.5
gene_symbol,Mapkap1
mouse_strain,C57BL
parameter_id,MGP_MLN_071_001
pvalue,1.159346
gene_accession_id,MGI:2444554
