parameter_name,HDL-cholesterol
mouse_strain,C57BL
pvalue,0.5458863
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_016_001
analysis_id,0h8562903514r83
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
