parameter_name,Neutrophils
gene_symbol,Lpgat1
mouse_strain,C57BL
gene_accession_id,MGI:2446186
parameter_id,IMPC_IMM_050_001
pvalue,0.9743769
analysis_id,w64n6lkl61d6040
mouse_life_stage,Late adult
