Parameter_name,Liver weight
Pvalue,0.2838323
Mouse_life_stage,E9.5
Analysis_id,u7y750j23g475sz
Mouse_strain,C57BL
Gene_accession_id,MGI:97838
Parameter_id,UCD_OWT_008_001
Gene_symbol,Eprs1
