parameter_name,Periphery resting time
mouse_life_stage,Early adult
gene_symbol,Arnt
analysis_id,4o974x4m1upkog2
parameter_id,HRWLLA_OFD_011_001
mouse_strain,C57BL
pvalue,0.1402072
gene_accession_id,MGI:88071
