analysis_id,6i9s6183025er5y
pvalue,0.7296384
gene_accession_id,MGI:1276578
gene_symbol,GFI1B
parameter_id,M-G-P_014_001_010
parameter_name,lens opacity
mouse_strain,C57BL
mouse_life_stage,Early adult
