mouse_strain,129SV
gene_symbol,Arpc2
pvalue,0.6959555
parameter_name,Potassium
analysis_id,wnivysbkkzak4ju
parameter_id,GMC_906_001_005
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
