parameter_name,Chloride
gene_accession_id,MGI:1913576
mouse_strain,C57BL
pvalue,0.1198764
gene_symbol,Dnajc5b
analysis_id,4prl925gus890x4
parameter_id,IMPC_CBC_003_001
mouse_life_stage,Early adult
