gene_symbol,Lurap1
parameter_name,Prepulse inhibition - PP3
parameter_id,ESLIM_011_001_703
pvalue,0.6628376
mouse_life_stage,Early adult
gene_accession_id,MGI:1915325
analysis_id,n75900124f5vit8
mouse_strain,C57BL
