gene_symbol,Mecom
parameter_name,Total CD4+ T cells - % of CD45+
analysis_id,63l87884xvnbh62
parameter_id,MGP_IMM_071_001
pvalue,0.9509631
mouse_life_stage,E15.5
mouse_strain,C57BL
gene_accession_id,MGI:95457
