analysis_id,em5161j30653uv8
pvalue,0.9761489
parameter_name,Total NK cells - % of CD45+
parameter_id,MGP_IMM_033_001
mouse_life_stage,Early adult
gene_symbol,Alkbh3
mouse_strain,C57BL
gene_accession_id,MGI:1916363
