analysis_id,f723f5e39z79435
parameter_id,M-G-P_016_001_005
gene_accession_id,MGI:88174
mouse_life_stage,E15.5
gene_symbol,Bmi1
parameter_name,Mean-cell-volume
pvalue,0.5118439
mouse_strain,C57BL
