gene_symbol,Ssr2
mouse_strain,C57BL
analysis_id,qv00xrql8809at9
parameter_id,MGP_IMM_013_001
parameter_name,Total CD8+ T cells - % of ab T cells
pvalue,0.1094543
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
