gene_symbol,Pglyrp3
mouse_life_stage,Early adult
analysis_id,4y1f303d1ua9906
gene_accession_id,MGI:2685266
parameter_name,Total NK cells - % of CD45+
pvalue,0.07547505
mouse_strain,C57BL
parameter_id,MGP_MLN_031_001
