gene_symbol,Lime1
mouse_strain,C57BL
pvalue,0.2610997
gene_accession_id,MGI:1919949
mouse_life_stage,Early adult
analysis_id,n4nlrd64a597670
parameter_id,IMPC_OFD_013_001
parameter_name,Periphery average speed
