gene_symbol,Mms22l
gene_accession_id,MGI:2684980
mouse_strain,C56BL
parameter_name,Response amplitude - S
parameter_id,IMPC_ACS_006_001
pvalue,0.5436346
mouse_life_stage,Early adult
analysis_id,88e5o380exv7u8d
