parameter_id,IMPC_GEL_063_001
gene_accession_id,MGI:1309468
mouse_strain,C50BL
gene_symbol,Casq1
parameter_name,Delayed embryonic development
mouse_life_stage,Early adult
analysis_id,q48h7hf78i5i6ta
pvalue,0.1234317
